course name,course title,course time,course link
COMP_SCI 348,Intro to Artificial Intelligence,11-12:20 MWAlam,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/348.html
COMP_SCI 349,Machine Learning,11-12:20 MWDemeter,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/349.html
COMP_SCI 350,Introduction to Computer Security,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/350.html
COMP_SCI 351-1,Intro to Computer Graphics,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/351-1.html
COMP_SCI 351-2,Intermediate Computer Graphics,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/351-2.html
COMP_SCI 354,Computer System Security,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/354.html
COMP_SCI 355,Digital Forensics and Incident Response,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/355.html
COMP_ENG 361,Computer Architecture I,MW 12:30-1:50Joseph,https://www.mccormick.northwestern.edu/computer-science/academics/courses/https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/361.html
COMP_ENG 362,Computer Architecture Project,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/362.html
"COMP_ENG 365, 465","Internet-of-Things Sensors, Systems, and Applications",,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/365-465.html
"COMP_SCI 368, 468",Programming Massively Parallel Processors with CUDA,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/368-468.html
COMP_SCI 371,Knowledge Representation and Reasoning,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/371.html
"COMP_SCI 372, 472",Designing and Constructing Models with Multi-Agent Languages,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/372-472.html
COMP_SCI 376,Game Design and Development,4-4:50 MWFHorswill,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/376.html
COMP_SCI 377,Game Development Studio,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/377.html
COMP_SCI 392,Rapid Prototyping for Software Innovation,3-3:50 MWFRiesbeck,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/392.html
COMP_SCI 394,Agile Software Development,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/394.html
COMP_SCI 396,Advanced Graphics Seminar: VR/AR Systems,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-1.html
COMP_SCI 396,Artificial Life,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-2.html
COMP_SCI 396,Differential Privacy: from Foundations to Machine Learning,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-5.html
COMP_SCI 396,Social AR/VR Studio,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-9.html
COMP_SCI 396,Modeling Relationships with Causal Inference,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-10.html
COMP_SCI 396,Communicating Computer Science,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-11.html
COMP_SCI 396,Proving Properties of Programs with Mechanized Logic,11-11:50 MWFFindler,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-12.html
COMP_SCI 396,Introduction to Computational Linguistics,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-14.html
COMP_SCI 396,Social Networks Analysis,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-15.html
COMP_SCI 396,Advanced Graphics Seminar,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-16.html
COMP_SCI 396,Advanced Offense and Defense in Cybersecurity,11-12:20 TuThXing,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-17.html
COMP_SCI 396,Natural & Artificial Vision,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-19.html
COMP_SCI 396,"TDD, Refactoring and Design Patterns for Software Engineering",,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-21.html
COMP_SCI 396,Full Stack Software Engineering,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-22.html
COMP_SCI 396,Foundations of Security,3:30-4:50 TuThBhagavatula,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-24.html
COMP_SCI 396,Responsible Software Engineering,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-25.html
"COMP_SCI 396, 496",Advanced Algorithm Design through the Lens of Competitive Programming,11-12:20 TuThAvdyukhin,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-2.html
"COMP_SCI 396, 496",Data Science Seminar,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-6.html
"COMP_SCI 396, 496",Foundations of Quantum Computing and Quantum Information,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-7.html
"COMP_SCI 396, 496",Programming Languages Seminar,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-10.html
"COMP_SCI 396, 496",Security and Privacy Education,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-13.html
"COMP_SCI 396, 496",Dynamics of Programming Languages,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-15.html
"COMP_SCI 396, 496",Advanced Topics in Modern Cryptography,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-16.html
"COMP_SCI 396, 496",Topics in Software Engineering,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-18.html
"COMP_SCI 396, 496",Introduction to Kolmogorov Complexity,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-19.html
"COMP_SCI 396, 496",Approximation Algorithms,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-21.html
"COMP_SCI 396, 496",CS Education Research in the Community,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-24.html
"COMP_SCI 396, 496","Computing, Ethics, and Society",,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-25.html
"COMP_SCI 396, 496",Computational Optics,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-26.html
COMP_SCI 496,HCI Methods for Health Research,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-27.html
COMP_SCI 397,Seminar in Statistical Language Modeling,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-1.html
COMP_SCI 397,Computer Science Education,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-2.html
COMP_SCI 397,Topics in HCI and Design,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-3.html
"COMP_SCI 397, 497",Multimodal learning analytics and interaction analysis,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-10.html
"COMP_SCI 397, 497",Selected Topics in Computer Networks,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-12.html
"COMP_SCI 397, 497",Wireless and Mobile Health (mHealth),,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-14.html
"COMP_SCI 397, 497",Innovation Lab: Building Technologies for the Law,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-15.html
"COMP_SCI 397, 497",Advanced Topics in Compilers,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-2.html
"COMP_SCI 397, 497",Wireless Protocols for the Internet of Things,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-20.html
"COMP_SCI 397, 497","Sports, Technology and Learning",,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-3.html
"COMP_SCI 397, 497",(Special Topics) Innovation in Journalism & Technology,2-3:50 TuThHammond & Wise,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/397-497-4.html
COMP_SCI 401,Introduction to Graduate Studies in Computer Science,10-10:50 MWFHullman,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/401.html
